,ticker,name,slug,marketcap,sector,category,symbol,size
163,ZKS,ZKS,zks,351513747.3,Decentralized Exchanges,Financial,ZKS-USD,59.2885948
164,ABBC,ABBC Coin,abbc-coin,348471550.7,Payment Platforms,Payments,ABBC-USD,59.03147895
165,DAWN,Dawn,dawn,340992784.6,Rewards,Media and Entertainment,DAWN-USD,58.39458747
166,DODO,DODO,dodo,339688966.1,Decentralized Exchanges,Financial,DODO-USD,58.28284191
167,RFOX,RedFOX Labs,redfox-labs,339672952.3,Tokenization,Media and Entertainment,RFOX-USD,58.2814681
168,CVC,Civic,civic,339079250.3,Identity,Services,CVC-USD,58.23051178
169,NKN,NKN,nkn,338922541.4,IoT,Infrastructure,NKN-USD,58.21705432
170,BAND,Band Protocol,band-protocol,336807823,Data Management,Infrastructure,BAND-USD,58.0351465
171,MCO,Crypto.com,crypto-com,335725144.8,Payment Platforms,Payments,MCO-USD,57.94179362
172,BTS,BitShares,bitshares,330559458.1,Smart Contract Platforms,Financial,BTS-USD,57.49430042
173,SAND,The Sandbox,thesandbox,329551191.5,Gaming,Media and Entertainment,SAND-USD,57.40654941
174,ETN,Electroneum,electroneum,328310257.7,Payment Platforms,Payments,ETN-USD,57.29836452
175,CTSI,Cartesi,cartesi,323572888.9,Smart Contract Platforms,Infrastructure,CTSI-USD,56.88346762
176,XHV,Haven Protocol,haven-protocol,320100397.9,,,XHV-USD,56.57741581
177,LINA,Linear,linear,316983060.6,Decentralized Exchanges,Financial,LINA-USD,56.30124871
178,BTM,Bytom,bytom,309281065.5,Smart Contract Platforms,Financial,BTM-USD,55.61304393
179,BADGER,Badger DAO,badger-dao,304394190.8,Decentralized Exchanges,Financial,BADGER-USD,55.17193043
180,MED,MediBloc,medibloc-qrc20,303060181.8,,,MED-USD,55.05090206
181,NMR,Numeraire,numeraire,300861282.7,Asset Management,Financial,NMR-USD,54.85082339
182,TUSD,TrueUSD,trueusd,297527612.7,Stablecoins,Payments,TUSD-USD,54.54609177
183,UTK,UTRUST,utrust,296453032.4,Payment Platforms,Payments,UTK-USD,54.44750062
184,AGI,SingularityNET,singularitynet,286947848.3,AI,Services,AGI-USD,53.56751331
185,ORBS,Orbs,orbs,285010078.5,Enterprise and BaaS,Infrastructure,ORBS-USD,53.38633519
186,KEEP,Keep Network,keep-network,284482766.8,Interoperability,Infrastructure,KEEP-USD,53.33692594
187,NU,NuCypher,nucypher,281591581.6,Data Management,Infrastructure,NU-USD,53.06520344
188,ORN,Orion Protocol,orion-protocol,279818678,,,ORN-USD,52.89789013
189,DIME,Dimecoin,dimecoin,276904492.5,,,DIME-USD,52.62171534
190,JST,JUST,just,271381800.4,Decentralized Exchanges,Financial,JST-USD,52.09431835
191,UQC,Uquid Coin,uquid-coin,269593066.3,,,UQC-USD,51.92235225
192,AVA,Travala.com,travala-com,267625573.8,Payment Platforms,Payments,AVA-USD,51.73254042
193,SIC,Swisscoin,swisscoin,262626937.7,,,SIC-USD,51.24714019
194,CELR,Celer Network,celer-network,262594367.6,Scaling,Infrastructure,CELR-USD,51.24396234
195,ARK,Ark,ark,262575006.9,Interoperability,Infrastructure,ARK-USD,51.24207323
